periode_update;bahan_pokok;satuan_bapok;harga_rata_rata
Januari 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;107712
Januari 2023;Triplek (6mm)/ lembar;lembar;75904
Januari 2023;Besi Beton 6 mm (12/9m) / Btg;Btg;31835
Januari 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48054
Januari 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73029
Januari 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;101450
Januari 2023;Paku Ukuran 10Cm /Kg;Kg;18273
Januari 2023;Paku Ukuran 2 Cm /Kg;Kg;19560
Januari 2023;Paku Ukuran 3Cm/Kg;Kg;19330
Januari 2023;Paku Ukuran 4Cm/Kg;kg;19040
Januari 2023;Paku Ukuran 5Cm/Kg;Kg;18170
Januari 2023;Paku Ukuran 7Cm/Kg;Kg;17992
Januari 2023;GAS ELPIGI 3 Kg;Kg;18298
Januari 2023;Pupuk KCL  Non Subsidi / Kg;Kg;8956
Januari 2023;Pupuk NPK Non Subsidi / Kg;Kg;10885
Januari 2023;Pupuk SP 35 Non Subsidi / Kg;Kg;6974
Januari 2023;Pupuk Urea Non Subsidi / Kg;Kg;6948
Januari 2023;Pupuk ZA Non Subsidi / Kg;Kg;5573
Februari 2023;Beras Premium / kg;kg;12605
Februari 2023;Beras Mentik / kg;kg;12155
Februari 2023;Beras Medium / kg;kg;10560
Februari 2023;Gula Kristal Putih / kg;kg;13149
Februari 2023;Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml;620 ml;17014
Februari 2023;Minyak Goreng Curah / kg;kg;15627
Februari 2023;Minyak Goreng Kemasan Premium / liter;1 liter;20658
Februari 2023;Minyak Goreng Kemasan Premium 2 liter;2 Liter;39468
Februari 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16379
Februari 2023;Minyak Goreng MINYAKITA / liter;1 Liter;15072
Februari 2023;Minyak Goreng MINYAKITA Kemasan Pouch 1 Liter;1 Liter;15065
Februari 2023;Daging Sapi Paha Belakang / kg;kg;114795
Februari 2023;Daging Ayam Ras / kg;kg;30653
Februari 2023;Daging Ayam Kampung / kg;kg;63656
Februari 2023;Telur Ayam Ras / kg;kg;26139
Februari 2023;Telur Ayam Kampung / kg;kg;42839
Februari 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;11774
Februari 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11614
Februari 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;39937
Februari 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39003
Februari 2023;Jagung Pipilan Kering / kg;kg;7127
Februari 2023;Garam Beryodium  Bata / buah;Buah;1509
Februari 2023;Garam Beryodium Halus / kg;kg;8608
Februari 2023;Tepung Terigu / kg;kg;11648
Februari 2023;Kacang Kedelai Impor / kg;kg;14389
Februari 2023;Kacang Kedelai Lokal / kg;kg;13730
Februari 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3025
Februari 2023;Cabe Merah Keriting / kg;kg;38209
Februari 2023;Cabe Merah Besar / kg;kg;33469
Februari 2023;Cabe Rawit Merah / kg;kg;56786
Februari 2023;Bawang Merah / kg;kg;36106
Februari 2023;Bawang Putih / kg;kg;24818
Februari 2023;Ikan Asin Teri / kg;kg;73737
Februari 2023;Kacang Hijau / kg;kg;23078
Februari 2023;Kacang Tanah / kg;kg;27384
Februari 2023;Ketela Pohon / kg;kg;4651
Februari 2023;Kol/kubis (/kg);kg;8323
Februari 2023;Kentang / kg;kg;15077
Februari 2023;Tomat / kg;kg;6320
Februari 2023;Wortel / kg;kg;10437
Februari 2023;Buncis / kg;kg;9975
Februari 2023;Semen Gresik / 40 Kg;40 Kg;56907
Februari 2023;Semen Tiga Roda / 40 Kg;40 Kg;51469
Februari 2023;Semen Padang / 40Kg;40 Kg;47251
Februari 2023;Semen Tonasa / 40Kg;40 Kg;47561
Februari 2023;Semen Bosowa / 40Kg;40 Kg;47240
Februari 2023;Semen Dinamix / 40 Kg;40 Kg;50267
Februari 2023;Ikan Bandeng / kg;kg;33023
Februari 2023;Ikan Kembung / kg;kg;33218
Februari 2023;Ikan Tuna / kg;kg;39694
Februari 2023;Ikan Tongkol / kg;kg;32417
Februari 2023;Ikan Cakalang / kg;kg;33510
Februari 2023;KAYU BALOK MERANTI (4 X 10);Btg;97125
Februari 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108108
Februari 2023;Triplek (6mm)/ lembar;lembar;75555
Februari 2023;Besi Beton 6 mm (12/9m) / Btg;Btg;31728
Februari 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48167
Februari 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73868
Februari 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;102011
Februari 2023;Paku Ukuran 10Cm /Kg;Kg;18555
Februari 2023;Paku Ukuran 2 Cm /Kg;Kg;19650
Februari 2023;Paku Ukuran 3Cm/Kg;Kg;19553
Februari 2023;Paku Ukuran 4Cm/Kg;kg;19191
Februari 2023;Paku Ukuran 5Cm/Kg;Kg;18403
Februari 2023;Paku Ukuran 7Cm/Kg;Kg;18330
Februari 2023;GAS ELPIGI 3 Kg;Kg;18337
Februari 2023;Pupuk KCL  Non Subsidi / Kg;Kg;9149
Februari 2023;Pupuk NPK Non Subsidi / Kg;Kg;11172
Februari 2023;Pupuk SP 35 Non Subsidi / Kg;Kg;6822
Februari 2023;Pupuk Urea Non Subsidi / Kg;Kg;7154
Februari 2023;Pupuk ZA Non Subsidi / Kg;Kg;5669
Maret 2023;Beras Premium / kg;kg;12486
Maret 2023;Beras Medium / kg;kg;10015
Maret 2023;Gula Kristal Putih / kg;kg;13135
Maret 2023;Minyak Goreng Curah / kg;kg;15451
Maret 2023;Minyak Goreng Kemasan Premium / liter;1 liter;20461
Maret 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16323
Maret 2023;Minyak Goreng MINYAKITA / liter;1 Liter;14676
Maret 2023;Daging Sapi Paha Belakang / kg;kg;115128
Maret 2023;Daging Ayam Ras / kg;kg;31462
Maret 2023;Daging Ayam Kampung / kg;kg;64168
Maret 2023;Telur Ayam Ras / kg;kg;27441
Maret 2023;Telur Ayam Kampung / kg;kg;43065
Maret 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;11872
Maret 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11724
Maret 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;40031
Maret 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39004
Maret 2023;Jagung Pipilan Kering / kg;kg;7122
Maret 2023;Garam Beryodium  Bata / buah;Buah;1478
Maret 2023;Garam Beryodium Halus / kg;kg;8755
Maret 2023;Tepung Terigu / kg;kg;11669
Maret 2023;Kacang Kedelai Impor / kg;kg;14223
Maret 2023;Kacang Kedelai Lokal / kg;kg;13757
Maret 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3037
Maret 2023;Cabe Merah Keriting / kg;kg;35464
Maret 2023;Cabe Merah Besar / kg;kg;33927
Maret 2023;Cabe Rawit Merah / kg;kg;69065
Maret 2023;Bawang Merah / kg;kg;32265
Maret 2023;Bawang Putih / kg;kg;27812
Maret 2023;Ikan Asin Teri / kg;kg;74930
Maret 2023;Kacang Hijau / kg;kg;23419
Maret 2023;Kacang Tanah / kg;kg;27919
Maret 2023;Ketela Pohon / kg;kg;4658
Maret 2023;Kol/kubis (/kg);kg;7676
Maret 2023;Kentang / kg;kg;14925
Maret 2023;Tomat / kg;kg;8672
Maret 2023;Wortel / kg;kg;10032
Maret 2023;Buncis / kg;kg;10407
Maret 2023;Semen Gresik / 40 Kg;40 Kg;56889
Maret 2023;Semen Tiga Roda / 40 Kg;40 Kg;51595
Maret 2023;Semen Padang / 40Kg;40 Kg;46799
Maret 2023;Semen Tonasa / 40Kg;40 Kg;47187
Maret 2023;Semen Bosowa / 40Kg;40 Kg;47373
Maret 2023;Semen Dinamix / 40 Kg;40 Kg;50287
Maret 2023;Ikan Bandeng / kg;kg;33116
Maret 2023;Ikan Kembung / kg;kg;33483
Maret 2023;Ikan Tuna / kg;kg;39716
Maret 2023;Ikan Tongkol / kg;kg;32379
Maret 2023;Ikan Cakalang / kg;kg;33539
Maret 2023;KAYU BALOK MERANTI (4 X 10);Btg;97200
Maret 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108206
Maret 2023;Triplek (6mm)/ lembar;lembar;75382
Maret 2023;Besi Beton 6 mm (12/9m) / Btg;Btg;31660
Maret 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48022
Maret 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73637
Maret 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;101641
Maret 2023;Paku Ukuran 10Cm /Kg;Kg;18522
Maret 2023;Paku Ukuran 2 Cm /Kg;Kg;19575
Maret 2023;Paku Ukuran 3Cm/Kg;Kg;19543
Maret 2023;Paku Ukuran 4Cm/Kg;kg;19141
Maret 2023;Paku Ukuran 5Cm/Kg;Kg;18374
Maret 2023;Paku Ukuran 7Cm/Kg;Kg;18357
Maret 2023;GAS ELPIGI 3 Kg;Kg;18356
Maret 2023;Pupuk KCL  Non Subsidi / Kg;Kg;9472
Maret 2023;Pupuk NPK Non Subsidi / Kg;Kg;11383
Maret 2023;Pupuk SP 35 Non Subsidi / Kg;Kg;6875
Maret 2023;Pupuk Urea Non Subsidi / Kg;Kg;7273
Maret 2023;Pupuk ZA Non Subsidi / Kg;Kg;5828
Apr-23;Beras Premium / kg;kg;12571
Apr-23;Beras Medium / kg;kg;10367
Apr-23;Gula Kristal Putih / kg;kg;13124
Apr-23;Minyak Goreng Curah / kg;kg;15188
Apr-23;Minyak Goreng Kemasan Premium / liter;1 liter;20306
Apr-23;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16417
Apr-23;Minyak Goreng MINYAKITA / liter;1 Liter;14746
Apr-23;Daging Sapi Paha Belakang / kg;kg;117366
Apr-23;Daging Ayam Ras / kg;kg;33856
Apr-23;Daging Ayam Kampung / kg;kg;65764
Apr-23;Telur Ayam Ras / kg;kg;26943
Apr-23;Telur Ayam Kampung / kg;kg;43091
Apr-23;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;11922
Apr-23;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11800
Apr-23;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;40654
Apr-23;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39492
Apr-23;Jagung Pipilan Kering / kg;kg;7132
Apr-23;Garam Beryodium  Bata / buah;Buah;1447
Apr-23;Garam Beryodium Halus / kg;kg;8591
Apr-23;Tepung Terigu / kg;kg;11588
Apr-23;Kacang Kedelai Impor / kg;kg;13956
Apr-23;Kacang Kedelai Lokal / kg;kg;13722
Apr-23;Indomie Rasa Kari Ayam / bungkus;Bungkus;3063
Apr-23;Cabe Merah Keriting / kg;kg;32275
Apr-23;Cabe Merah Besar / kg;kg;33157
Apr-23;Cabe Rawit Merah / kg;kg;31820
Apr-23;Bawang Merah / kg;kg;31782
Apr-23;Bawang Putih / kg;kg;27270
Apr-23;Ikan Asin Teri / kg;kg;75523
Apr-23;Kacang Hijau / kg;kg;23781
Apr-23;Kacang Tanah / kg;kg;28688
Apr-23;Ketela Pohon / kg;kg;4679
Apr-23;Kol/kubis (/kg);kg;7719
Apr-23;Kentang / kg;kg;14801
Apr-23;Tomat / kg;kg;11986
Apr-23;Wortel / kg;kg;10349
Apr-23;Buncis / kg;kg;11202
Apr-23;Semen Gresik / 40 Kg;40 Kg;56696
Apr-23;Semen Tiga Roda / 40 Kg;40 Kg;51487
Apr-23;Semen Padang / 40Kg;40 Kg;46491
Apr-23;Semen Tonasa / 40Kg;40 Kg;46946
Apr-23;Semen Bosowa / 40Kg;40 Kg;47623
Apr-23;Semen Dinamix / 40 Kg;40 Kg;50017
Apr-23;Ikan Bandeng / kg;kg;33490
Apr-23;Ikan Kembung / kg;kg;32898
Apr-23;Ikan Tuna / kg;kg;39648
Apr-23;Ikan Tongkol / kg;kg;32425
Apr-23;Ikan Cakalang / kg;kg;33540
Apr-23;KAYU BALOK MERANTI (4 X 10);Btg;97151
Apr-23;Papan Meranti (4m X 3cm X 20mm);Lembar;108231
Apr-23;Triplek (6mm)/ lembar;lembar;75668
Apr-23;Besi Beton 6 mm (12/9m) / Btg;Btg;31656
Apr-23;Besi Beton 8 mm (12/9m) / Btg;Btg;48080
Apr-23;Besi Beton 10 mm (12/9m) / Btg;Btg;73225
Apr-23;Besi Beton 12 mm (12/9m) / Btg;Btg;101182
Apr-23;Paku Ukuran 10Cm /Kg;Kg;18562
Apr-23;Paku Ukuran 2 Cm /Kg;Kg;19613
Apr-23;Paku Ukuran 3Cm/Kg;Kg;19552
Apr-23;Paku Ukuran 4Cm/Kg;kg;19101
Apr-23;Paku Ukuran 5Cm/Kg;Kg;18360
Apr-23;Paku Ukuran 7Cm/Kg;Kg;18328
Apr-23;GAS ELPIGI 3 Kg;Kg;18349
Apr-23;Pupuk KCL  Non Subsidi / Kg;Kg;9612
Apr-23;Pupuk NPK Non Subsidi / Kg;Kg;11538
Apr-23;Pupuk SP 35 Non Subsidi / Kg;Kg;7021
Apr-23;Pupuk Urea Non Subsidi / Kg;Kg;7288
Apr-23;Pupuk ZA Non Subsidi / Kg;Kg;5920
Mei 2023;Beras Premium / kg;kg;12624
Mei 2023;Beras Medium / kg;kg;10454
Mei 2023;Gula Kristal Putih / kg;kg;13258
Mei 2023;Minyak Goreng Curah / kg;kg;15187
Mei 2023;Minyak Goreng Kemasan Premium / liter;1 liter;20177
Mei 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16194
Mei 2023;Minyak Goreng MINYAKITA / liter;1 Liter;14708
Mei 2023;Daging Sapi Paha Belakang / kg;kg;116926
Mei 2023;Daging Ayam Ras / kg;kg;34742
Mei 2023;Daging Ayam Kampung / kg;kg;65790
Mei 2023;Telur Ayam Ras / kg;kg;29293
Mei 2023;Telur Ayam Kampung / kg;kg;43231
Mei 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;12012
Mei 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11778
Mei 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;40759
Mei 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39792
Mei 2023;Jagung Pipilan Kering / kg;kg;7195
Mei 2023;Garam Beryodium  Bata / buah;Buah;1471
Mei 2023;Garam Beryodium Halus / kg;kg;8636
Mei 2023;Tepung Terigu / kg;kg;11645
Mei 2023;Kacang Kedelai Impor / kg;kg;13596
Mei 2023;Kacang Kedelai Lokal / kg;kg;13631
Mei 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3083
Mei 2023;Cabe Merah Keriting / kg;kg;28730
Mei 2023;Cabe Merah Besar / kg;kg;31666
Mei 2023;Cabe Rawit Merah / kg;kg;30483
Mei 2023;Bawang Merah / kg;kg;37531
Mei 2023;Bawang Putih / kg;kg;31162
Mei 2023;Ikan Asin Teri / kg;kg;75555
Mei 2023;Kacang Hijau / kg;kg;23807
Mei 2023;Kacang Tanah / kg;kg;28798
Mei 2023;Ketela Pohon / kg;kg;4665
Mei 2023;Kol/kubis (/kg);kg;7613
Mei 2023;Kentang / kg;kg;14616
Mei 2023;Tomat / kg;kg;11065
Mei 2023;Wortel / kg;kg;10329
Mei 2023;Buncis / kg;kg;12043
Mei 2023;Semen Gresik / 40 Kg;40 Kg;56644
Mei 2023;Semen Tiga Roda / 40 Kg;40 Kg;51386
Mei 2023;Semen Padang / 40Kg;40 Kg;46461
Mei 2023;Semen Tonasa / 40Kg;40 Kg;46935
Mei 2023;Semen Bosowa / 40Kg;40 Kg;47482
Mei 2023;Semen Dinamix / 40 Kg;40 Kg;49921
Mei 2023;Ikan Bandeng / kg;kg;32991
Mei 2023;Ikan Kembung / kg;kg;33181
Mei 2023;Ikan Tuna / kg;kg;39333
Mei 2023;Ikan Tongkol / kg;kg;32309
Mei 2023;Ikan Cakalang / kg;kg;33119
Mei 2023;KAYU BALOK MERANTI (4 X 10);Btg;97308
Mei 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108037
Mei 2023;Triplek (6mm)/ lembar;lembar;75690
Mei 2023;Besi Beton 6 mm (12/9m) / Btg;Btg;31354
Mei 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47924
Mei 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72719
Mei 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;100772
Mei 2023;Paku Ukuran 10Cm /Kg;Kg;18496
Mei 2023;Paku Ukuran 2 Cm /Kg;Kg;19581
Mei 2023;Paku Ukuran 3Cm/Kg;Kg;19490
Mei 2023;Paku Ukuran 4Cm/Kg;kg;19078
Mei 2023;Paku Ukuran 5Cm/Kg;Kg;18350
Mei 2023;Paku Ukuran 7Cm/Kg;Kg;18246
Mei 2023;GAS ELPIGI 3 Kg;Kg;18313
Mei 2023;Pupuk KCL  Non Subsidi / Kg;Kg;9469
Mei 2023;Pupuk NPK Non Subsidi / Kg;Kg;11484
Mei 2023;Pupuk SP 35 Non Subsidi / Kg;Kg;7117
Mei 2023;Pupuk Urea Non Subsidi / Kg;Kg;7236
Mei 2023;Pupuk ZA Non Subsidi / Kg;Kg;5876
Juni 2023;Beras Premium / kg;kg;12596
Juni 2023;Beras Medium / kg;kg;10381
Juni 2023;Gula Kristal Putih / kg;kg;13296
Juni 2023;Minyak Goreng Curah / kg;kg;15154
Juni 2023;Minyak Goreng Kemasan Premium / liter;1 liter;19903
Juni 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16090
Juni 2023;Minyak Goreng MINYAKITA / liter;1 Liter;14659
Juni 2023;Daging Sapi Paha Belakang / kg;kg;116590
Juni 2023;Daging Ayam Ras / kg;kg;37209
Juni 2023;Daging Ayam Kampung / kg;kg;66460
Juni 2023;Telur Ayam Ras / kg;kg;29469
Juni 2023;Telur Ayam Kampung / kg;kg;43463
Juni 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;12066
Juni 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11763
Juni 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;40607
Juni 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39451
Juni 2023;Jagung Pipilan Kering / kg;kg;7240
Juni 2023;Garam Beryodium  Bata / buah;Buah;1477
Juni 2023;Garam Beryodium Halus / kg;kg;8832
Juni 2023;Tepung Terigu / kg;kg;11634
Juni 2023;Kacang Kedelai Impor / kg;kg;13354
Juni 2023;Kacang Kedelai Lokal / kg;kg;13550
Juni 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3094
Juni 2023;Cabe Merah Keriting / kg;kg;27569
Juni 2023;Cabe Merah Besar / kg;kg;31103
Juni 2023;Cabe Rawit Merah / kg;kg;33941
Juni 2023;Bawang Merah / kg;kg;35344
Juni 2023;Bawang Putih / kg;kg;33106
Juni 2023;Ikan Asin Teri / kg;kg;75456
Juni 2023;Kacang Hijau / kg;kg;23727
Juni 2023;Kacang Tanah / kg;kg;28460
Juni 2023;Ketela Pohon / kg;kg;4616
Juni 2023;Kol/kubis (/kg);kg;7597
Juni 2023;Kentang / kg;kg;14464
Juni 2023;Tomat / kg;kg;10838
Juni 2023;Wortel / kg;kg;10518
Juni 2023;Buncis / kg;kg;11825
Juni 2023;Semen Gresik / 40 Kg;40 Kg;56738
Juni 2023;Semen Tiga Roda / 40 Kg;40 Kg;51442
Juni 2023;Semen Padang / 40Kg;40 Kg;46170
Juni 2023;Semen Tonasa / 40Kg;40 Kg;46914
Juni 2023;Semen Bosowa / 40Kg;40 Kg;47559
Juni 2023;Semen Dinamix / 40 Kg;40 Kg;49892
Juni 2023;Ikan Bandeng / kg;kg;32314
Juni 2023;Ikan Kembung / kg;kg;32947
Juni 2023;Ikan Tuna / kg;kg;39219
Juni 2023;Ikan Tongkol / kg;kg;32311
Juni 2023;Ikan Cakalang / kg;kg;33043
Juni 2023;KAYU BALOK MERANTI (4 X 10);Btg;96617
Juni 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;106168
Juni 2023;Triplek (6mm)/ lembar;lembar;75869
Juni 2023;Besi Beton 6 mm (12/9m) / Btg;Btg;31071
Juni 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47748
Juni 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72664
Juni 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;100826
Juni 2023;Paku Ukuran 10Cm /Kg;Kg;18481
Juni 2023;Paku Ukuran 2 Cm /Kg;Kg;19543
Juni 2023;Paku Ukuran 3Cm/Kg;Kg;19471
Juni 2023;Paku Ukuran 4Cm/Kg;kg;19062
Juni 2023;Paku Ukuran 5Cm/Kg;Kg;18349
Juni 2023;Paku Ukuran 7Cm/Kg;Kg;18287
Juni 2023;GAS ELPIGI 3 Kg;Kg;18304
Juni 2023;Pupuk KCL  Non Subsidi / Kg;Kg;9433
Juni 2023;Pupuk NPK Non Subsidi / Kg;Kg;11612
Juni 2023;Pupuk SP 35 Non Subsidi / Kg;Kg;7134
Juni 2023;Pupuk Urea Non Subsidi / Kg;Kg;7289
Juni 2023;Pupuk ZA Non Subsidi / Kg;Kg;5838
Juli 2023;Beras Premium / kg;kg;12594
Juli 2023;Beras Medium / kg;kg;10328
Juli 2023;Gula Kristal Putih / kg;kg;13328
Juli 2023;Minyak Goreng Curah / kg;kg;15081
Juli 2023;Minyak Goreng Kemasan Premium / liter;1 liter;19787
Juli 2023;Minyak Goreng Kemasan Sederhana / liter;1 Liter;16036
Juli 2023;Minyak Goreng MINYAKITA / liter;1 Liter;14667
Juli 2023;Daging Sapi Paha Belakang / kg;kg;116391
Juli 2023;Daging Ayam Ras / kg;kg;37840
Juli 2023;Daging Ayam Kampung / kg;kg;66278
Juli 2023;Telur Ayam Ras / kg;kg;30066
Juli 2023;Telur Ayam Kampung / kg;kg;43762
Juli 2023;Susu Kental Manis Merk Bendera (397 gr/kl);397 gr/kl;12071
Juli 2023;Susu Kental Manis Merk Indomilk (390 gr/kl);390 gr/kl;11778
Juli 2023;Susu Bubuk Merk Bendera (Instant) / (400 gr/dos);400 gr/dos;40631
Juli 2023;Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos);400 gr/dos;39366
Juli 2023;Jagung Pipilan Kering / kg;kg;7298
Juli 2023;Garam Beryodium  Bata / buah;Buah;1474
Juli 2023;Garam Beryodium Halus / kg;kg;8831
Juli 2023;Tepung Terigu / kg;kg;11611
Juli 2023;Kacang Kedelai Impor / kg;kg;13190
Juli 2023;Kacang Kedelai Lokal / kg;kg;13384
Juli 2023;Indomie Rasa Kari Ayam / bungkus;Bungkus;3101
Juli 2023;Cabe Merah Keriting / kg;kg;28333
Juli 2023;Cabe Merah Besar / kg;kg;30598
Juli 2023;Cabe Rawit Merah / kg;kg;28012
Juli 2023;Bawang Merah / kg;kg;30233
Juli 2023;Bawang Putih / kg;kg;35713
Juli 2023;Ikan Asin Teri / kg;kg;75263
Juli 2023;Kacang Hijau / kg;kg;23639
Juli 2023;Kacang Tanah / kg;kg;28324
Juli 2023;Ketela Pohon / kg;kg;4624
Juli 2023;Kol/kubis (/kg);kg;7370
Juli 2023;Kentang / kg;kg;15172
Juli 2023;Tomat / kg;kg;7564
Juli 2023;Wortel / kg;kg;11478
Juli 2023;Buncis / kg;kg;11841
Juli 2023;Semen Gresik / 40 Kg;40 Kg;56523
Juli 2023;Semen Tiga Roda / 40 Kg;40 Kg;51554
Juli 2023;Semen Padang / 40Kg;40 Kg;46198
Juli 2023;Semen Tonasa / 40Kg;40 Kg;46683
Juli 2023;Semen Bosowa / 40Kg;40 Kg;47719
Juli 2023;Semen Dinamix / 40 Kg;40 Kg;49943
Juli 2023;Ikan Bandeng / kg;kg;32511
Juli 2023;Ikan Kembung / kg;kg;33078
Juli 2023;Ikan Tuna / kg;kg;39115
Juli 2023;Ikan Tongkol / kg;kg;32381
Juli 2023;Ikan Cakalang / kg;kg;33395
Juli 2023;KAYU BALOK MERANTI (4 X 10);Btg;96498
